symbol,name,currency,exchange,country,type
A,Agilent Technologies Inc,USD,NYSE,United States,Common Stock
AA,Alcoa Corp,USD,NYSE,United States,Common Stock
AABB,Asia Broadband,,,,
AAC,AAC Holdings Inc,USD,NYSE,United States,Common Stock
AACG,ATA Creativity Global,USD,NASDAQ,United States,Depositary Receipt
AACG,ATA Creativity Global,USD,NASDAQ,United States of America,EQUITY
AACH,AAC Holdings,,,,
AACQ,Artius Acquisition Inc.,USD,NASDAQ,United States of America,EQUITY
AACS,American Commerce Solutions,,,,
AAGC,All American Gold Corp.,USD,OTC,United States,Common Stock
AAGEF,AAG Energy Holdings Limited,USD,OTC,United States of America,EQUITY
AAGFF,Aftermath Silver Ltd.,USD,OTC,United States of America,EQUITY
AAGH,America Great Health,USD,OTC,United States,Common Stock
AAIC,Arlington Asset Investment Corp.,USD,NYSE,United States of America,EQUITY
AAIIQ,Alabama Aircraft Industries,,,,
AAL,American Airlines Group Inc,USD,NASDAQ,United States,Common Stock
AAMC,Altisource Asset Management Corp,USD,NYSE,United States,Common Stock
AAME,Atlantic American Corporation,USD,NASDAQ,United States of America,EQUITY
AAME,Atlantic American Corp,USD,NASDAQ,United States,Common Stock
AAMTF,Armada Mercantile Ltd.,USD,OTC,United States,Common Stock
AAN,Aaron's Inc,USD,NYSE,United States,Common Stock
AAOI,Applied Optoelectronics,,,,
AAOI,Applied Optoelectronics Inc,USD,NASDAQ,United States,Common Stock
AAON,AAON Inc,USD,NASDAQ,United States,Common Stock
AAP,Advance Auto Parts Inc,USD,NYSE,United States,Common Stock
AAPL,Apple Inc,USD,NASDAQ,United States,Common Stock
AAPT,All American Pet Company,,,,
AASL,America's Suppliers,,,,
AASZF,Atlantic Sapphire ASA,USD,OTC,United States of America,EQUITY
AAT,American Assets Trust Inc,USD,NYSE,United States,Real Estate Investment Trust (REIT)
AATRL,AMG Capital Trust II,USD,OTC,United States,Preferred Stock
AATV,Adaptive Ad Systems,,,,
AAU,Almaden Minerals Ltd,USD,NYSE,United States,Common Stock
AAUKF,Anglo American plc,USD,OTC,United States of America,EQUITY
AAWC,Alexandria Advantage Warranty Company,USD,OTC,United States,Common Stock
AAWW,Atlas Air Worldwide Holdings Inc,USD,NASDAQ,United States,Common Stock
AAXN,Axon Enterprise Inc,USD,NASDAQ,United States,Common Stock
AB,AllianceBernstein Holding LP,USD,NYSE,United States,Limited Partnership
ABB,ABB Ltd,USD,NYSE,United States,Depositary Receipt
ABBV,AbbVie Inc,USD,NYSE,United States,Common Stock
ABBY,Abby,,,,
ABC,AmerisourceBergen Corp,USD,NYSE,United States,Common Stock
ABCB,Ameris Bancorp,USD,NASDAQ,United States,Common Stock
ABCE,ABCO Energy,,,,
ABCL,AbCellera Biologics Inc,USD,NASDAQ,United States of America,Common Stock
ABCM,Abcam PLC,USD,NASDAQ,United States of America,American Depositary Receipt
ABCP,AmBase Corp.,USD,OTC,United States,Common Stock
ABDR,Ambassador Food Services Corp.,USD,OTC,United States,Common Stock
ABEO,Abeona Therapeutics Inc.,USD,NASDAQ,United States of America,EQUITY
ABEO,Abeona Therapeutics Inc,USD,NASDAQ,United States,Common Stock
ABEV,Ambev SA,USD,NYSE,United States,Depositary Receipt
ABG,Asbury Automotive Group Inc,USD,NYSE,United States,Common Stock
ABGI,ABG Acquisition Corp. I,USD,NASDAQ,United States of America,EQUITY
ABILF,Ability Inc.,USD,OTC,United States,Common Stock
ABIO,ARCA biopharma,,,,
ABIO,ARCA biopharma Inc,USD,NASDAQ,United States,Common Stock
ABKB,American Basketball Association,,,,
ABLE,Able Energy,,,,
ABLT,American Biltrite,,,,
ABM,ABM Industries Inc,USD,NYSE,United States,Common Stock
ABMC,American Bio Medica Corp.,USD,OTC,United States,Common Stock
ABMD,ABIOMED Inc,USD,NASDAQ,United States,Common Stock
ABML,American Battery Metals Corporation,USD,OTC,United States of America,EQUITY
ABML,American Battery Metals Corporation,USD,OTC,United States,Common Stock
ABNB,Airbnb,,,,
ABNC,American Bancorp,,,,
ABPA,Allegiance Bank of North America (Bala Cynwyd,,,,
ABPR,Airborne Security & Protective Services,,,,
ABR,Arbor Realty Trust Inc,USD,NYSE,United States,Real Estate Investment Trust (REIT)
ABR-A,Arbor Realty Trust Inc,USD,NYSE,United States,Preferred Stock
ABR-B,Arbor Realty Trust Inc,USD,NYSE,United States,Preferred Stock
ABR-C,Arbor Realty Trust Inc,USD,NYSE,United States,Preferred Stock
ABR.PR.A,Arbor Realty Trust,,,,
ABR.PR.B,Arbor Realty Trust,,,,
ABR.PR.C,Arbor Realty Trust,,,,
ABSOF,ABS-CBN Holdings Corporation,USD,OTC,United States of America,EQUITY
ABST,Absolute Software Corporation,USD,NASDAQ,United States of America,EQUITY
ABT,Abbott Laboratories,USD,NYSE,United States,Common Stock
ABTI,Alterola Biotech,,,,
ABTX,Allegiance Bancshares Inc,USD,NASDAQ,United States,Common Stock
ABUS,Arbutus Biopharma Corp,USD,NASDAQ,United States,Common Stock
ABVC,American BriVision ,USD,OTC,United States of America,EQUITY
ABVC,American BriVision (Holding) Corporation,USD,OTC,United States,Common Stock
ABVG,Affinity Beverage Group,,,,
ABWN,Airborne Wireless Network,USD,OTC,United States,Common Stock
ABXXF,Abaxx Technologies Inc.,USD,OTC,United States of America,EQUITY
AC,Associated Capital Group Inc,USD,NYSE,United States,Common Stock
ACA,Arcosa Inc,USD,NYSE,United States,Common Stock
ACAC,Acies Acquisition Corp.,USD,NASDAQ,United States of America,EQUITY
ACAC,Acies Acquisition Corp.,USD,NASDAQ,United States of America,EQUITY
ACAD,ACADIA Pharmaceuticals Inc,USD,NASDAQ,United States,Common Stock
ACAH,Atlantic Coastal Acquisition Corp.,USD,NASDAQ,United States of America,EQUITY
ACAM,Acamar Partners Acquisition Corp,USD,NASDAQ,United States,Common Stock
ACAMU,Acamar Partners Acquisition Corp,USD,NASDAQ,United States,Unit
ACAN,AmeriCann,,,,
ACAN,Americann Inc.,USD,OTC,United States,Common Stock
ACB,Aurora Cannabis Inc,USD,NYSE,United States,Common Stock
ACBA,Ace Global Business Acquisition Limited,USD,NASDAQ,United States of America,EQUITY
ACBCQ,Albina Community Bancorp,USD,OTC,United States,Common Stock
ACBD,Annabidiol Corp.,USD,OTC,United States,Common Stock
ACBI,Atlantic Capital Bancshares Inc,USD,NASDAQ,United States,Common Stock
ACBM,Acro Biomedical Co.,,,,
ACBM,Acro Biomedical Co.,,,,
ACC,American Campus Communities Inc,USD,NYSE,United States,Real Estate Investment Trust (REIT)
ACCA,Acacia Diversified Holdings,,,,
